City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Rameswaram,IN,83.98,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
468,Yanam,IN,84.6,broken clouds,16.7333,82.2167,The Regency Hotel
471,Saint-Georges,GD,79.36,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
475,Misratah,LY,77.22,clear sky,32.3754,15.0925,Almasa Hotel
477,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
482,Gorontalo,ID,85.75,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
486,Jacksonville,US,79.05,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
487,Am Timan,TD,81.99,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
488,Aitape,PG,83.12,overcast clouds,-3.1374,142.3475,
490,Sumagui,PH,83.03,broken clouds,12.7953,121.474,Red Palm Beach Resort
491,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
492,Singaraja,ID,83.86,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
493,Benghazi,LY,75.76,clear sky,32.1167,20.0667,Tibesti Hotel
495,Pochutla,MX,78.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
497,Kadoma,JP,75.18,overcast clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
503,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
507,Ko Samui,TH,82.42,overcast clouds,9.5357,99.9357,The Passage
508,Huaidian,CN,87.98,broken clouds,33.4333,115.0333,Xihuan Hotel
510,Umm Lajj,SA,80.56,clear sky,25.0213,37.2685,Moon light Furnished Units
512,Lumphat,KH,80.28,broken clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
513,Buluang,PH,85.77,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
517,Surt,LY,78.69,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
524,Coruripe,BR,75.07,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
531,Harrisonville,US,76.35,overcast clouds,38.6533,-94.3488,Americas Best Value Inn & Suites Harrisonville
536,Panguna,PG,82.98,broken clouds,-6.3164,155.4848,
538,Kodinar,IN,80.01,scattered clouds,20.7903,70.7031,residency of N.B vadhel
541,Pamanukan,ID,79.36,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
543,Voh,NC,83.21,broken clouds,-20.9667,164.7,Le gîte du Koniambo
545,Lorengau,PG,83.82,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
548,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
552,Phalodi,IN,84.04,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
553,Sardarshahr,IN,87.39,clear sky,28.4333,74.4833,Hotel Moti Mahal
556,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
560,Mareeba,AU,78.48,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
567,Hami,CN,85.17,overcast clouds,42.8,93.45,Laoyutang Resort
573,Tabuk,PH,78.57,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
577,Tual,ID,83.59,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
