City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Maceio,BR,2022-05-05 18:41:52,-9.6658,-35.7353,85.44,65,40,11.5
68,Luderitz,NA,2022-05-05 18:41:53,-26.6481,15.1594,63.14,64,0,6.33
69,Jawhar,SO,2022-05-05 18:41:53,2.7809,45.5005,81.32,73,100,13.15
70,Kalemie,CD,2022-05-05 18:41:54,-5.9475,29.1947,71.73,82,98,3.67
71,Albany,US,2022-05-05 18:37:16,42.6001,-73.9662,67.59,42,99,1.01
72,Ribeira Grande,PT,2022-05-05 18:40:27,38.5167,-28.7,64.8,88,75,11.5
73,Cabo San Lucas,MX,2022-05-05 18:41:55,22.8909,-109.9124,81.7,56,0,3.0
74,Salalah,OM,2022-05-05 18:41:56,17.0151,54.0924,84.29,84,40,3.44
75,Solikamsk,RU,2022-05-05 18:41:56,59.6196,56.7729,29.57,82,9,10.36
76,Yongzhou,CN,2022-05-05 18:41:57,26.4559,111.5988,69.84,73,100,3.67
77,Vostok,RU,2022-05-05 18:41:57,46.4856,135.8833,48.63,64,100,5.97
78,Bowen,AU,2022-05-05 18:41:58,-20.0167,148.2333,71.62,92,2,5.73
79,Longyearbyen,SJ,2022-05-05 18:41:58,78.2186,15.6401,22.84,68,75,5.75
80,Tepechitlan,MX,2022-05-05 18:41:59,21.6667,-103.3333,88.93,15,4,9.48
81,Bereda,ES,2022-05-05 18:42:00,43.2686,-7.5406,59.41,80,1,6.04
82,Puerto Ayora,EC,2022-05-05 18:42:00,-0.7393,-90.3518,80.56,87,100,7.78
83,Atar,MR,2022-05-05 18:42:01,20.5169,-13.0499,93.67,9,0,9.53
84,Bluff,NZ,2022-05-05 18:42:01,-46.6,168.3333,52.81,86,92,5.82
85,Atuona,PF,2022-05-05 18:42:02,-9.8,-139.0333,78.49,75,100,13.96
86,Saskylakh,RU,2022-05-05 18:42:02,71.9167,114.0833,18.7,95,100,8.97
87,Haines Junction,CA,2022-05-05 18:43:03,60.7522,-137.5108,44.55,42,100,6.91
88,Santiago,CL,2022-05-05 18:39:57,-33.4569,-70.6483,70.99,60,75,5.75
89,Ancud,CL,2022-05-05 18:43:04,-41.8697,-73.8203,53.98,92,98,14.63
90,Georgetown,MY,2022-05-05 18:40:17,5.4112,100.3354,82.33,88,20,3.44
91,Velikiy Ustyug,RU,2022-05-05 18:43:04,60.7644,46.3106,31.48,73,95,5.46
92,Mananjary,MG,2022-05-05 18:43:05,-21.2167,48.3333,71.02,90,41,2.98
93,Udachnyy,RU,2022-05-05 18:43:06,66.4167,112.4,32.45,86,100,5.86
94,Santana Do Livramento,BR,2022-05-05 18:39:59,-30.8908,-55.5328,66.92,66,29,3.02
95,Barrow,US,2022-05-05 18:39:53,71.2906,-156.7887,12.22,85,100,12.66
96,Margate,GB,2022-05-05 18:43:07,51.3813,1.3862,58.3,74,61,1.99
97,Carnarvon,AU,2022-05-05 18:43:07,-24.8667,113.6333,64.47,52,0,6.91
98,Kodiak,US,2022-05-05 18:40:52,57.79,-152.4072,42.31,81,100,12.66
99,Kutum,SD,2022-05-05 18:43:08,14.2,24.6667,85.78,14,8,14.85
100,Great Yarmouth,GB,2022-05-05 18:43:09,52.6083,1.7305,60.08,85,100,2.98
101,Horta,PT,2022-05-05 18:43:09,38.5333,-28.6333,64.04,88,75,11.5
102,Atbasar,KZ,2022-05-05 18:43:10,51.8,68.3333,55.15,47,11,8.1
103,Dikson,RU,2022-05-05 18:43:10,73.5069,80.5464,15.76,97,100,4.83
104,Port Alfred,ZA,2022-05-05 18:43:11,-33.5906,26.891,71.31,59,0,4.16
105,Codrington,AU,2022-05-05 18:43:12,-38.2667,141.9667,47.66,88,87,4.94
